userName,content,score
Audy Lumintang1978,Sangat membantu,5
hartostenly lohonauman,Tdk bisa install,5
Nuriati Kadir,Sangat baik,5
Anto AutoVille,"Knpa ini nda jadi kl pas cek data,hanya eror",1
yongki haruna,Mantap,5
Tome Tome,Ribet🤦🤦,2
Stevie Jo,Sering error,4
sonny kapoh,Terbalik,5
CRUSADER Gaming,Sudah di download. Pas cek informasi PKBdan PNBP layar blank. Aneh.,1
Ric___ 07,cuma sampe di ba ketik nomor..kasiang jo ni apk..RIP,1
Chandra Tangkilisan,"Makin ribet,, kode bayar jga tdk ada krn wajib daftar online kendaraan👎👎👎",1
Biell,Bagus .cepat dan tepat,5
Chrisli Rapar,Setelah di update malah nambah aneh,1
Edwin Moniaga,Sangat membantu,4
Esaf Losikon,Sya ingin cek pajak,5
Apriliani Rasjidi,"Selalu close otomatis belum masuk ke fitur apk di dalam force close, sebelum di update bagus bagus saja serta sudah di update ke tim salut malah ribet gak se simpel lalu",1
Charlie Lohonauman,Aplikasi force close mulu mending gk ush di update bos udah tambah ribet apk juga force close hadeh,1
Petro Maurits,okk,5
John bohang,"Bagus sangat membantu,bayar pajak mandiri /online bisa dari rmh,",5
David Kevin,"Ini aplikasi so bagus.. . Pertahankan neh👍 jadi lebe gampang babayar.. enda perlu lei babayar di kantor samsat.. pengalaman babayar kwa di kantor dong minta ini minta itu, jadi malas kalo mo babayar pajak di kantor.. kalo ini so enda, so terterah mo bayar berapa.. pas bayar di bank lei cuman tatambah biaya admin Rp5.000,- , tinggal mo cetak itu SKPD fisik deng pengesahan..😇 Note: kalo bagini somo rajin bayar pajak😁",5
Rizky herdiansyah,APK TIDAK BERMANFAAT SAMA SEKALI,1
Ering Dolfie,👍🙏,5
Allan Ricky Unsulangi,good,5
Evid Lumingkewas,sebelum update cek masi bisa ini kita pe data kendaran tidak terdaftar...,1
Ando Lintong,"Update aplikasi for beking lebe bagus, bukang beking lebe susah... hadeeee...",1
Mega Wowor,Ribet skali ini aplikasi pas update. Pantas banyak yg nda bayar pajak.,1
Edi Pakasi,Bagus,5
Doni Tolandang,Mantap tdk ribet lagi,5
Ryan Lu,"Kodenya kok gak bisa di pakai, tambah ribut pake ni aplikasi",1
Nick Moningka,Tolong buat aplikasi yang menguntungkan masyarakat. Mau bayar pajak susah sekali sdh dapat kode bayar serta mau bayar lwt m Bangking nomor kode salah. Payah luar binasa,1
Harold Loing,Kenapa tidak bisa install yaa ?,1
Rama Poluakan,soh lebeh pusing pake ini aplikasi...,1
Charles Massie,"Respon paling cepat, mantap👍",5
hadi wiyono,Kebapa bayarnya gak bisa lewat bank lain selain bank sulut?,2
Brian Aruro,"Lebe bagus yang dulu sebelum update , sekarang lebeh ribet",1
boy ce,Keren,5
Rey Rampengan,Mantapp,5
Evesus cessie pasla,Mantap,5
Michael Mic,Trims,5
Eman Rumampuk,Terbaik dan sangat membantu......,5
Kusmo Be,Aplikasi apaan ini Setelah di update data kendaraan jadi berubah.,1
Chresly Rumondor,ribet,2
Jopie Dumanauw,Mantap,5
Gerry Darmawan,Tolong disediakan pada IOS,4
Sriwardana Saleh,Kpa dpe kode bayar nda keluar kang,1
Rudi Lonteng,Bagus,4
sriwahyuni ibrahim,Mantab,5
Eduard Monangin,Mudah dan cepat aplikasinya,5
Perri Darmanto,The best,5
Bayu Alit,"Tolong developer, kase bagus akang ni aplikasi. Mo cek pajak p susah. Nda mo jadi. Pas update bgni so nda jadi2. Bkg susah jo",1
Ashwinay Naway,Mohon di kembalikan ke versi lama biar belih gampang..,1
Adina Molangka,Langsung dapat mengetahui pembayaran pajak motor 🙏🙏🙏,5
Linda Gosal,✔️👍👍👍👏👏👏,5
Stenly ticoalu,Mantap,5
Rafel Mailangkay,Lebih sulit mending yg lama dri payg yg baru ini,1
Louis Leslly,Ok,5
Koko Prayaka,"Bayar nya ribet, tidak bisa pake tokped",1
Chumichu Cumi,"ribet skali cma mo lia kode bayar bnya tete benge, nda rupa dlu langsung kluar",1
Putra Mahkota,Makasi,5
Marcelino Lumi,Sistem sering eror sudah keluar notice pajak di aplikasi msh tertulis blm bayar,1
Reymond Pangau,"Tidak akurat mohon di diperiksa lagi aplikasi ini. Pajak sudah terbayar, tapi di cek di aplikasi belum terbayar",1
Eky Eky,Pajak sdh dibayar.. tapi aplikasinya nda terupdate...malah ada denda..,1
john bisuan,Bagus,5
Rivo Watung,2023 lbe ribet m isi plat nomor kendaraan nd bisa👎,1
Steven Tawalujan,Keren rekomendit,5
daeng 997,"Gak update aplikasinya, pajak udah dibayar lunas di samsat, cek aplikasi masih belum terbayar",2
Mario Mohede,Mantap,5
Dwi Susanto,Cara bayar lewat bank lain bisa nggak? Misal bank BRI githu,5
Sharon Jehosua,sudah diperbarui malah gak bisa cek pajak,1
Fai Elias,Update yg baru ini lebih mempersulit lebih enak yg dulu,1
Yudhy Chris Rivaldy Baureh,Force close di samsung a52 android 13,1
MJ CHANNEL,"Tdk dpt di gunakan, selalu kembali atau keluar",1
Bemz Dwee,"Lebih ribet aplikasi yang sekarang gak langsung keluar kode bayar, pake daftar online segala, mau bayar aja susah, pantas banyak yg gak bayar pajak kendaraan.",1
Scoteris Copank,Sangat mudah di cek,5
Steven Lengkey,"Mudah""an bisa aplikasi di iphone, dan menjadi lebih ribet mo cek pajak..",1
Fischer Waloni,Sangat membantu,4
Noldy Gromisk,Okkk mantapp,5
RINTO TOTAGAN,Saat cek pajak muncul jumlah pajak yg harus d bayar pas bayar langsung kok beda nominalnya..semoga kedepannya harus d perbaiki agar pengguna aplikasi ini lebih senang,4
aprilia yahya,Kiapa nya muncul kode bayar kang?,4
Nanang Lindungi,Aplikasi ini sangat membantu,5
Jasmine Rahardja,"Aplikasinya gak di update / upgrade lagi. Mau bayar pajak cek nya dari sini, pas mau bayar nominal tagihannya berbeda.",1
Ando Daud,Mantap,5
Hendri Paputungan,Sagat bagus,5
Refly Kolang,Sangat membantu,5
Nino Mokoagow,Hebat,5
Riyanto budi Soni,Bagus,5
Westwell NW,Tidak work di android 12..tiap cek data nomor polisi tidak bisa.. Mohon diperbaiki.,1
B KALALO,Ok,5
Arther Wotulo,Mantaaap👍,5
Cancer Juni,𝙻𝚞𝚖𝚊𝚢𝚊𝚗,5
Sari Supu kusi,Tolong sebaiknya kode bayarnya di aktifkan seminggu sebelum jatu tempo bayar pajaknya,5
Djunaidi Mooduto,Mantap sangat membantu,4
Valentino Sompotan,"Aplikasi lama,tidak pernah diperbarui,data tidak akurat...sangat payah 👎👎👎",1
Jovie Wenas,Mantap,5
Ashar Hatam,Terbaikk,5
Awan Harmawan,Sudah Baik dalam menyampaikan informasi pajak kendaraan. Tapi berharap kedepannya bisa cek informasi untuk mobil listrik plat biru. Semoga bisa update secepatnya. Terima Kasih kerja kerasnya.,5
andirum _Af,Sangat bermanfaat.,5
KartherSmith Smith2928,Sangat baik dan membantu 👍🏻👍🏻👍🏻,5
Rhaymond Rhay,Mantap👍🙏😇,5
Risanto Hobihi,Sangat bermanfaat skali,5
Satrio Utomo,"Nominal yg harus dibayar tidak sesuai, pajak saya bayar terus pas di aplikasi tertulis 5 tahun belum terbayar",1
Sthendi Lumenta,Mantap👍👍👍,5
Arif Mamondol,Awalnya ada kendala untuk pemeriksaan nomor platnya . Tapi Alhamdulillah akhirnya bisa juga. Semoga kedepan lancar dan berharap tidak ada kendala lagi di versi-versi terbaru handphone apapun,5
Sonny Tarima,Kenapa tdk muncul kode bayar?,1
Risno Mokodompit,Tidak lengkap data nya tidak ada nama dan lain lain,5
tandaju maxi,Sangat puas,4
Fritsky Mandagi,Mntap,5
Arsad Amar,Sangat membantu,5
Fajrin Hullah,Nga bisa di buka,1
Silvan Rengku,Sangat membantu,5
delly sayangbati,saya suka,5
Risal Herdali Saerang,Kenapa saya sudah bayar pajak pas di cek kok masih menunggak,1
Stefie Rorong,oke,5
Yustus Darenoh,Saya kase bintanh empat.aplikasi ini sangat bagus buat liat pajak lewat,5
Edwin Poluakan,Sangat bermanfaat,5
Kornelis Donald,Baik.....,5
Andy Rompas,Mantab,5
Agus Supriatna,Dengan adaya apl ini mempermudah didalam pengurusan pajak kendaraan,5
dea Dey,"harga pajak di aplikasi nda sesuai deng harga asli, di aplikasi masih tercantum biayay STNK padahalh itu so bayar tahun lalu satu kali deng depe pajak motor",1
Temmy Wuntu,Semoga waktu pembayaran sesuai dengan harga yg tertera... Soalnya setiap tahun saya bayar tidak sesuai dengan yg tertera...,5
Allen Maindoka,Nulll,1
Djamal Amelia,86 tetap semangat💪,5
Aden Panigoro,Tidak bisa di buka,5
Vonny Angkow,Mempermudah dlm membayar pajak kendaraan,5
steven lomboan,Awal awal bagus..blakangan mengecewakan..membuka ruang pungli,2
STEVEN. WALEAN.,Ok,5
ex,harus diupdate lagi,1
Ridwan Noe,Eas e rddessdee E tilang di TFT TT TT t TTD t fff the g TT ffttdft TT,2
Jeansta Manahede,Mantap,5
Rommie Talumepa,Mantap,5
Elegi Gea,Sudah sekian hari aplikasi error. Cuma loading trus,1
Raider Bol-Tim,Mantap,5
stevly manembu,Good,5
Vicky Hutagalung,𝙆𝙣𝙥𝙖 𝙣𝙙 𝙗𝙞𝙨𝙖 𝙢𝙖𝙨𝙪𝙠 𝙠𝙚 𝙖𝙥𝙠?? 𝙈𝙤𝙝𝙤𝙣 𝙥𝙚𝙣𝙟𝙖𝙨𝙖𝙣𝙣𝙮𝙖,1
Stenli Dungus,Sangat membantu sekali,5
Elnior& Edsel,Kode bayar tidak ada,1
Eki Posumah,Ok,5
Mario Cero,Sayang nya gak ada update lagi,5
Arthur Wotulo,Layanan mantap👍👍,5
Thomas Sekewael,Bagus,4
Deisy Lolong,Sangat setuju dengan aplikasi ini. Thanks,5
Jimmy Rumengan,Bagus,5
Christian Stevenson Heinrich Purukan,Tolong lebih dikembangkan lagi,5
Norman Martin,Tidak inovatif.,1
Michael Anis,👍👍👍👍,5
Jenri Maidangkay,"Dulu bagus , tapi mungkin sudah ditinggal",1
Stevenson Petiunaung,Good,5
Bombom Bogo,Kasih info harus lengkap. Ini Nga bisa kasih kode bayar apaan coba ? Kalo kita bayar pajak tolong dipermudah bukan dipersulit,1
Agus Marsidi,Good👍,5
irsye Yohosua,aplikasi bagus dan sangat berguna🥰🥰,5
Haris Adjiji,Good,5
Adri Lasama,Bagus... mudah untuk mempercepat waktu.,5
Felix Kansil,Mantap,5
PT Rungkad jaya,Ga niat bikin aplikasi kode bayar tidak keluar Apa cuma buat abisin anggaran saja,1
Arya Dewangga,"Meresahkan, kode bayar tidak keluar info kendaraan tidak lengkap",1
vai rimporok,Apk abal abal... Kode bayar gk Ada. Masa pajak kendaraan makin tua bukan makin menurun malah tambah naik..,1
Raymond Langi,MANTAP,5
Sudiro Amparodo1,Informasi mudah,5
Djuannito Pandensolang,Ok,5
Letisha Tuar,"Aplikasi iko rame, yg penting ada aplikasi. Sekedar saja yg penting masyarakat lihat ada terobosan 🤦‍♂️ 1.Kode bayar nda muncul, bagimana mo babayar klu nda ada kode? 2. Bayar pajak tahunan Mar muncul di tagihan jumlah pajak 5 tahunan, mikir.... Sulut Hebat 🤣",1
Leonard Panekenan,Sangat membantu,5
Sussry Mokoginta,Aplikasi mantap,4
Imam Priyadi,Sangat membantu,5
Ptr Sadewa,Kenapa gk bisa pake bang 🙏🙏🙏,5
Meyken Lasut,Oke,5
Chindy Kaluntas,Bagus,5
Yustus Darenoh,Bagus,5
Teny Salawati,Bagus,5
Yulandi Mouko,Baik,4
andri visiardhana,Very Good,5
Rino M Nur,Mantap,5
Stefa Talendo,Aplikasi tidak bisa di buka,1
Fito mul Anto,Kenapa error,5
Sanny Wonte,Mantap,5
Sadam bawoel,Aplikasi ine sangat membantu,2
Hendro Derek Derek,Mohon.. Versi terbaru..,4
Deysi Ratu,Sy sudah instal appnya... Tapi nda bisa masuk,1
Miracle Caroles,Awalnya bisa membantu tapi sejak handphone aku di update tidak kompatibel lagi. Tolong di perbaiki dong 🙏,1
Handri Meifo,Pajak kendaraan saya tidak bisa adi cek.. Kendaraan orang bisa.. Gimana???,1
Donal Jofian Lesar,Mantap,5
Nuris Predator,"Ko bayar pajak bukannya turun malah naik tolong jangan ada pungli atw tikus2 korupsi.kasihan rakyat.apa kalian gak tau mungkin duit yang di pakai buat bayar pajak itu.duit minjam sama orang.se enaknya kalian atur2 pajaknya.kalian dah punya gaji masih aja nyari ke untungan sama orang susah.kalau mereka gak bayar pajak kena tilang.giliran mau bayar gak sesuai dengan harga pajak yang sebenarnya.tolong jangan bikin susah rakyat yang mau bayar pajak,dengan adanya tikus2 korupsi.trima kasih",1
Alfian Rumengan,Baik,4
Russ Anto,Cukup membantu sekali,5
Zulkiflan Hamzah,Ok,5
i wayan agus mardika,Baik,5
Ahmad Balahmar,Sangat puas dgn applikasi tsb.,5
Richie Rich,"So error' stow ini aplikasi... Masa Biaya STNK 100,000 dgn Cetak Plat Baru so bayar di 2020 kong masih ada Lei muncul di mo bayar 2021.... Kong Kode Bayar Lei nyanda ada Somo jatuh tempo Komang....😀😀😀👎",1
Stenly Bahihi,Aplikasi sudah bagus tapi harap di perbaharui lagi,5
Chris Rdr,"Sebenarnya aplikasi ini sangat membantu, tapi tolong diperbaiki menjadi lebih baik lagi. Terutama masalah data kendaraan dan jatuh temponya. Update juga untuk penggunaan di versi Android terbaru. Terimakasih.",3
Rivaldi Tandingon,Kenapa ngak bisah terbuka,1
jefrie nelwan,Baik,5
John Hikler,👍🏻,5
Kevien excelsis ondang,Baik,5
anton adam,Bisa membant brapa pembayaran pajak,5
Sunaryo Bigo,"mantap, semua jadi lebih mudah dan menghindari pungli",5
hendrik maarebia,"Okey, cukup membantu",4
Irwan Usman,Mantap,5
dade dodo,Kenapa aplikasinya tidak bisa dibuka ya,3
Handri Iroth,Good👍,5
Samsudhin Mokodompit,Bagus,5
sahril lasena83,Mantap,5
0774 iD (‪Michael‬),Nda update... SuakSkali.... 😂😂😂,1
Hasim melangi,"Aplikasi ini sangatlah membantu, tapi kenapa di android versi baru tidak bisa di buka....????",5
Puguh Prayitno,bagus,5
Muhammad Irgi,Mantap 👍👍👍👍👍,5
arsip NNL,"Aplikasi mantap, . usul setelah cek , langsung dgn pilihan bayar online, akan lebih mantap",5
New Michael,Mantap,5
Risman29,Mantap,5
Yudi Kawulur,Di update dong aplikasinya,2
Geraldo Pondaag,Ok,5
Rawinda Lela,Good app,5
Kia Jr24,Good,5
Mohammad Indrayadi Hasan Basri indra,Mantap,5
heroik suku,The best,5
anchu Djami,Mantap,5
Lyndon Johnson Worotikan,Ok,5
Glorya Stevanie Kaeng,Ok,5
Febriyanto Modaa,mantap,5
Eko Nasution,Kok masi fersi lama ngak ada update nya ya,5
Fito Rangga,Sulut hebat,5
Ismail Pawewang,Membantu dalam proses pengecekan pajak kendaraan,5
grety watung,Good,5
Andries Jules Kumajas,Great,5
Ismet Kaldiansyah,Bagus tapi datanya kurang lengkap,4
Yunus Dako,Ful bntgx,5
Zain “Fndy” Efendi,Klo sekaligus bisa bayar akan bermanfaat sekali,3
Nabati Tenda,Bgus,5
Uthan Pangerang,Mantap,5
Elia Runtunuwu,"Sangat membantu, tapi tolong di tambah info pemilik kendaraan juga",4
Daeng Kulle,Mantap,5
Gustry Tompunu,𝕋𝕖𝕣𝕓𝕒𝕚𝕜,5
alwibinsoriin alwi,Mwantappp ... !!!,5
Chezz Malieser,Aplikasinya udh bagus. Tapi lebih bagus lagi kalo disertai nama dan alamat pemilik thx 🙏🙏🙏,4
Melki Mambu,Aplikasi sdh bagus tapi kenapa kode bayarnya lambat keluar..tolong d perbaharui dan d tingkatkan lagi.,2
ias,sangat membantu,5
Ellisa Tengor,👍🏼,5
Desion Walangitan,Sangat bagus,4
Den Su,Membantu,4
Jacky Fracky Tamon,Mantap,5
Elias Lumandung,👍👍,5
Donny Monde,Good,5
Arbin Uno,"Aplikasinya sudah lumayan,,,, Akan tetapi lebih bagus lagi kalau dilengkapi nama, alamat juga pemilik.",3
Hapsa Mustain,Memang mantap.,5
Yonk Simbala,"Aplikasi sudah bagus, tapi sayang nya tidak ada pembaruan dari pihak developer. Mohon agar di perbarui lagi, agar kebutuhan mengenai informasi pajak kendaraan lebih mudah di akses oleh masyarakat. Serta mendapat pembaruan terbaru mengenai data pemilik kendaraan.",4
VICTOR DAROTONG,Good,5
Yanto Yanto,Sangat membatu untuk. Mengecek pajak kendaraan.🙏🙏,5
Nofendi Kalangi,Good,5
Dholvie Mamonto,Tolong dong Developer keknya ada kekeliruan soal waktu/tempo pembayaran pajak. Tahun kemarin aku uda bayar pajak 5 tahunan kenapa ditahun ini datanya masi kayak bayar pajak 5 tahunan...,1
Henry Bella,Good,5
Sutrisno Goni,Data tidak sinkron 😑,2
Boy Gnusumam,Good,5
Welly Mamusung,Bagus skali.,5
Raffa Thal,Sangat membantu,5
Adi Amang,Sangat bermanfaat!👍 Rating Bintang 5.,5
Mel maxi Rotinsulu,Sangat membantu,5
Natalia Seran,"Di update lagi aplikasinya,,karena pajak sudah bayar tapi pas cek sudah menunggak 2 tahun🙄🧐 Seharusnya membantu tapi malah bikin pusing😱",3
Terry Mamele,Aplikasinya mantap sangat membantu bagi kami pemilik kendaraan 👍,5
Susanto Engka,Biar lebih lengkap lagi kalau ada nama pemilik kendaraan nya..,3
Mandri Minggu,Pastinya sgt membantu kita sbg wajib pajak 🙏,5
Christianlayuksugi Layuksugi,Samsat sulut 👍👍,5
Monica Tumanken,"Ok juga,mantap",5
Vickly84,mantap,5
Reymond Muntuan,Ok,5
Yudi Gonggala,Sangat bagus,5
Inzuhya Mubarak,"Sangat Membantu Masyarakat dalam membayar kewajiban Pajak Kendaraan, karena bisa langsung mengetahui biaya keseluruhan pajak yang harus dibayarkan.",5
L. Dann,"Aplikasi ini sangat membantu kami mengetahui jumlah pajak kendaraan dan kapan terakhir dibayarkan. Mohon bisa di kembangkan lagi agar semakin memudahkan pemilik kendaraan, misalnya saat motor akan mutasi keluar daerah🙏🙏",5
Christian Pinem,Mantap,5
Fikri Rj,"Membantu memudahkan pengecekan pembayaran pajak, tanpa harus antri",5
Hanny Rogi,Efisien dan Mantap👍,5
Romy Lumi,Mantap,5
Moh Syafriyanto Pakaya,"Kak mohon maaf mau tanya, motor saya dari bolmong timur. Apakah saya bisa bayar pajak di samsat bolmut, Boroko ?",1
Ello Sakwal,"Saran, mohon dapat lampirkan juga nama pemilik kendaraan. Agar kelihatan pemilik kendaraan yang sebenarnya. Jadi masyarakat juga dalam hal ini dapat membantu pemerintah.",3
Dicky D.mintalangi,Siiiip,4
Mishella Syarief,Mantap,5
Stevie Tumuju,Tolong di selidiki.... Di apk jumlah tertere untuk STNK Rp 100.000.tapi kenyataanya bayar Rp 125.000. TNKB di apk j7mlah tertere Rp 60.000.tapi bayar Rp70.000.apakah ini yg salah apk nya.atau ad unsur KORUPSI...klo ini kesalahan apk...tolong di perbaharui.tapi jika ini adlah tindak KORUPSI mohon di selidiki...TERIMAH KASIH...,1
Randy Patanda,Sangat membantu mengingatkan Kalau Pentingnya Melaksanakan Kewajiban.,5
Noldikariso Noldi,Mantap,5
Aswin Hadi,Sangat membantu. Terima Kasih,5
Takira Nando (Let's explore),Kenapa Aplikasi nya tidak bisa di pakai,1
Max Manahera,bisa membtu,5
Victor Mawu,Sangat membantu,5
Bahri Peasu,Cek cek kendaran bermotor,5
Fahri Kobandaha,Matap,5
Raidon Courtland,Mantap,5
jeffry tulusan,Sangat bagus,5
Aneke Pangayow,Bagus,4
Immanuel Mandak,zokede,5
Harun Abudji,Mantap,5
Threeya Pakaya,Mantap bisa dipercaya...,5
Mulkia Mokoginta,Aplikasi word,5
Fermy Jorfen Jacob,Dgn aplikasi ini sangat membantu untuk membyr PJK kendaraan... Cuma klo somo ambe tu notice pajak hrs Tamba biaya lagi 50rb... Apakah memang begitu atau..?? Mudah2 ini nda pungli.... Salam sehat.,5
Ahmmad Pakaya,Bagus bisa membantu mengetahui pajak .,4
dhory dahori,Dicoba dulu masuk Aplikasi.,3
Maggie Mawitjere,Bagus,5
Felix Wee,Klo bisa kembangkan lagi untuk tampilan nama pemilik kendaraan,4
Vilmond yami,Sangat baik,5
Junaidi Manumpil,Bagus aplikasinya Tapi tolong nama pemiliknya Di cantumkan juga....,3
sarwo surono,Makasih jd mudah pajak kendaraan,3
reina ayumi kasiha,"Tolong Di tampilkan nama Pemilik Kendaraan, Pembanyaran lebih mudah, Spy oknum2 polisi yg bertugas di Samsat Biting spy tdk membodohi masyarakat Untuk membayar pajak.",5
Saul Rapar,Baru bayar tadi....sudah terkonfirmasi....dan data utk bayar tahun depan sudah ada....terimakasih..,5
Sofyan Junaidi,Kode bayar tidak muncul..,1
Welson Wungow,Apakah kode bayarnya tidak ditampilkan lagi? Soalnya sudah 3 bulan ini saya selalu cek. Kode bayarnya tidak ada atau tidak muncul. Akibatnya tidak bisa bayar lewat ATM,3
Doortje Tamunu,Good,5
Zainal Abidin,Mantap,5
Mario Katuuk,mantap,5
Haikal Achmad,Oke,5
widhio simbala,"Mohon untuk segera di perbaiki bug nya, selalu error saat di gunakan",1
Hary Wahjudi,"Utk memudahkan para pemilik ranmor, mohon app di-update.",1
Lea Ellen,Good,5
X street Official,"Tolong dong,, Tulisan Update Muncul,, Saya mau Cek Pajak Konsumen 🙏🙏",1
Anto Saja,"Sangat bagus,dan lebih gampang untuk pengecekan pajak",5
Jimmy Maki,Mantap,5
Meldy Lembong,Mantap...,5
Romel Salangka,Di coba dlu yaaa,4
Steven Walean,ok,5
Mooduto Edison,Aku suka,5
Ferry Ginsel,Mantap,5
Yanto Anto,Ok,5
marlon mario,Sangat membantu.,5
Stynki Warong,Supir,5
Rise 'n Shine,Makin bagus,5
Jokowi ANJING,Aplikasi eror,1
Ratno Panawar,👍,5
benny polii,Baik,5
Jamal Bahar,Data tidak di temkan..ngg guna app ini..,1
Abd Asis badar Asis badar,Benkel las,5
Creator Pangau,payah ni app. lebeh bae hapusjoh..nd berguna..masa dari dlu sampe skarang nd update.🙄 cuman buang data ad download..🤔😒😩,1
jemmy soenarto,"Tolong app nya di upgrade. Supaya bisa lancar bukanya. Bulan kemarin masih bisa buka app nya,, tp bulan ini error terus.",1
Sofyan Abbas,mantap,5
Frenly Lee,Membantu,5
The Pong'S,bagus,5
vidi tulung,membantu,5
Yut Djafar,Butul atau nda ini?,2
Rolly Rumampuk,Mantap,5
Black Eagle,Aplikasi mantap,5
Hilkia Chris,"Ini aplikasi serius ada bqg ato nda !! masa jaman skrg so lebeh canggi kg aplikasi nd mo update terbaru iko perkembangan, lebe bae hapus jo so nd ada guna di android terbaru",1
Jansen Rumondor,"Bagus, membantu. Maju terus.",5
Marina Makalow,Bagus,5
Andrew Andresen,"Data pemilik kendaraan tidak ada,,mohon di evaluasi lagi",3
Didi Tuwo,Sangat membantu,5
